,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
470,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C(OC)OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C(OC)OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,OC,C1=CC=CC=C1,C1=CC=CC=C1,C,1.68728905,COC(Oc1ccccc1)C(C)(c1ccccc1)c1ccc(-c2ccccc2)cc1
473,C(#N)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,C(#N)C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(#N),C,C,1.68786046,CC(C)(c1ccc(C#N)cc1)C(Oc1ccccc1)c1ccccc1
474,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C5=CC=CC=C5)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C5=CC=CC=C5)OCOC)C=C2,1,2,O,COC,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.68954748,COCOC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
476,C1=CC=CC=C1C2=CC=C(C([H])([H])C([H])OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C([H])OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,[H],C1=CC=CC=C1,[H],[H],1.69082635,c1ccc(OCCc2ccc(-c3ccccc3)cc2)cc1
477,C1=CC=CC=C1C2=CC=C(C([H])(C)C(OC)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C)C(OC)OC)C=C2,1,2,O,C,OC,C1=CC=CC=C1,[H],C,1.69120729,COC(OC)C(C)c1ccc(-c2ccccc2)cc1
478,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C(C4=CC=CC=C4)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C(C4=CC=CC=C4)OC)C=C2,1,2,O,C,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C,1.6917787,COC(c1ccccc1)C(C)(c1ccccc1)c1ccc(-c2ccccc2)cc1
479,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(OC)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(OC)OC)C=C2,1,2,O,C,OC,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.69191475,COC(OC)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
480,O(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C#N)OC4=CC=CC=C4)C=C1,0,1,O(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C#N)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C#N,O(C),C1=CC=CC=C1,C1=CC=CC=C1,1.69199638,COc1ccc(C(c2ccccc2)(c2ccccc2)C(C#N)Oc2ccccc2)cc1
481,[H]C1=CC=C(C(C)(C)C(C)OC2=CC=CC=C2)C=C1,0,1,[H]C1=CC=C(C(C)(C)C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,[H],C,C,1.69245895,CC(Oc1ccccc1)C(C)(C)c1ccccc1
482,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C)OC)C=C2,1,2,O,C,C,C1=CC=CC=C1,[H],[H],1.69262221,COC(C)Cc1ccc(-c2ccccc2)cc1
483,C1=CC=CC=C1C2=CC=C(C(C)(C3=CC=CC=C3)C(C)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C3=CC=CC=C3)C(C)OCOC)C=C2,1,2,O,COC,C,C1=CC=CC=C1,C,C1=CC=CC=C1,1.69264942,COCOC(C)C(C)(c1ccccc1)c1ccc(-c2ccccc2)cc1
484,C1=CC=CC=C1C2=CC=C(C(C)(C)C(C)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C(C)OC)C=C2,1,2,O,C,C,C1=CC=CC=C1,C,C,1.69294873,COC(C)C(C)(C)c1ccc(-c2ccccc2)cc1
485,C1=CC=CC=C1C2=CC=C(C(C)(C)C(OC)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C(OC)OCOC)C=C2,1,2,O,COC,OC,C1=CC=CC=C1,C,C,1.69360177,COCOC(OC)C(C)(C)c1ccc(-c2ccccc2)cc1
486,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C(C4=CC=CC=C4)OC5=CC=CC=C5)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C(C4=CC=CC=C4)OC5=CC=CC=C5)C=C2,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C,1.69390108,CC(c1ccccc1)(c1ccc(-c2ccccc2)cc1)C(Oc1ccccc1)c1ccccc1
488,C1=CC=CC=C1C2=CC=C(C([H])(C)C([H])OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C)C([H])OC)C=C2,1,2,O,C,[H],C1=CC=CC=C1,[H],C,1.69610509,COCC(C)c1ccc(-c2ccccc2)cc1
489,C1=CC=CC=C1C2=CC=C(C(C)(C)C(C)OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C(C)OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,C,C1=CC=CC=C1,C,C,1.69692139,CC(Oc1ccccc1)C(C)(C)c1ccc(-c2ccccc2)cc1
491,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)([H])C(C4=CC=CC=C4)OC5=CC=CC=C5)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)([H])C(C4=CC=CC=C4)OC5=CC=CC=C5)C=C2,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,[H],1.69781932,c1ccc(OC(c2ccccc2)C(c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1
493,O(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C#N)OC)C=C1,0,1,O(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C#N)OC)C=C1,1,2,O,C,C#N,O(C),C,C1=CC=CC=C1,1.69825468,COc1ccc(C(C)(c2ccccc2)C(C#N)OC)cc1
495,CCC1=CC=C(C(C)(C)C(C)OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C(C)(C)C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,CC,C,C,1.69969681,CCc1ccc(C(C)(C)C(C)Oc2ccccc2)cc1
496,CCC1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,CC,[H],[H],1.69972402,CCc1ccc(CC(C)Oc2ccccc2)cc1
498,C1=CC=CC=C1C2=CC=C(C(C)([H])C(OC)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)([H])C(OC)OCOC)C=C2,1,2,O,COC,OC,C1=CC=CC=C1,C,[H],1.70037706,COCOC(OC)C(C)c1ccc(-c2ccccc2)cc1
500,O(C)C1=CC=C(C(C)(C)C(Br)OC)C=C1,0,1,O(C)C1=CC=C(C(C)(C)C(Br)OC)C=C1,1,2,O,C,Br,O(C),C,C,1.70168314,COc1ccc(C(C)(C)C(Br)OC)cc1
501,O(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(Br)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(Br)OCOC)C=C1,1,2,O,COC,Br,O(C),C1=CC=CC=C1,C,1.70312527,COCOC(Br)C(C)(c1ccccc1)c1ccc(OC)cc1
502,O(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(C#N)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(C#N)OCOC)C=C1,1,2,O,COC,C#N,O(C),C1=CC=CC=C1,[H],1.70323411,COCOC(C#N)C(c1ccccc1)c1ccc(OC)cc1
505,[H]C1=CC=C(C([H])(C)C(C)OC2=CC=CC=C2)C=C1,0,1,[H]C1=CC=C(C([H])(C)C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,[H],[H],C,1.70739724,CC(Oc1ccccc1)C(C)c1ccccc1
506,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(OC)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(OC)OCOC)C=C2,1,2,O,COC,OC,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.70769655,COCOC(OC)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
507,C1=CC=CC=C1C2=CC=C(C([H])([H])C(OC)OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(OC)OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,OC,C1=CC=CC=C1,[H],[H],1.70826796,COC(Cc1ccc(-c2ccccc2)cc1)Oc1ccccc1
508,[H]C1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,0,1,[H]C1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,[H],[H],[H],1.70832238,CC(Cc1ccccc1)Oc1ccccc1
509,O(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C#N)OC3=CC=CC=C3)C=C1,0,1,O(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C#N)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C#N,O(C),C1=CC=CC=C1,C,1.70840401,COc1ccc(C(C)(c2ccccc2)C(C#N)Oc2ccccc2)cc1
510,C1=CC=CC=C1C2=CC=C(C(C)([H])C([H])OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)([H])C([H])OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,[H],C1=CC=CC=C1,C,[H],1.70957404,CC(COc1ccccc1)c1ccc(-c2ccccc2)cc1
512,C1=CC=CC=C1C2=CC=C(C([H])(C3=CC=CC=C3)C(OC)OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C3=CC=CC=C3)C(OC)OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,OC,C1=CC=CC=C1,[H],C1=CC=CC=C1,1.71006382,COC(Oc1ccccc1)C(c1ccccc1)c1ccc(-c2ccccc2)cc1
514,O(C)C1=CC=C(C(C)(C)C(Br)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C)(C)C(Br)OCOC)C=C1,1,2,O,COC,Br,O(C),C,C,1.71014545,COCOC(Br)C(C)(C)c1ccc(OC)cc1
515,C1=CC=CC=C1C2=CC=C(C([H])(C)C(C3=CC=CC=C3)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C)C(C3=CC=CC=C3)OCOC)C=C2,1,2,O,COC,C1=CC=CC=C1,C1=CC=CC=C1,[H],C,1.71030871,COCOC(c1ccccc1)C(C)c1ccc(-c2ccccc2)cc1
517,C1=CC=CC=C1C2=CC=C(C(C)(C)C([H])OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C([H])OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,[H],C1=CC=CC=C1,C,C,1.71066244,CC(C)(COc1ccccc1)c1ccc(-c2ccccc2)cc1
519,[H]C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,[H]C1=CC=C(C(C)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,[H],C,C,1.71117943,CC(C)(c1ccccc1)C(Oc1ccccc1)c1ccccc1
522,C1=CC=CC=C1C2=CC=C(C([H])([H])C(OC)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(OC)OCOC)C=C2,1,2,O,COC,OC,C1=CC=CC=C1,[H],[H],1.71362833,COCOC(Cc1ccc(-c2ccccc2)cc1)OC
523,O(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C#N)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C)(C2=CC=CC=C2)C(C#N)OCOC)C=C1,1,2,O,COC,C#N,O(C),C,C1=CC=CC=C1,1.71496162,COCOC(C#N)C(C)(c1ccccc1)c1ccc(OC)cc1
524,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)([H])C(C)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)([H])C(C)OC)C=C2,1,2,O,C,C,C1=CC=CC=C1,C1=CC=CC=C1,[H],1.71512488,COC(C)C(c1ccccc1)c1ccc(-c2ccccc2)cc1
526,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C)OCOC)C=C2,1,2,O,COC,C,C1=CC=CC=C1,[H],[H],1.71605002,COCOC(C)Cc1ccc(-c2ccccc2)cc1
527,O(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(C#N)OC)C=C1,0,1,O(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(C#N)OC)C=C1,1,2,O,C,C#N,O(C),C1=CC=CC=C1,[H],1.71640375,COc1ccc(C(c2ccccc2)C(C#N)OC)cc1
528,C1=CC=CC=C1C2=CC=C(C(C)([H])C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)([H])C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C,[H],1.71645817,CC(c1ccc(-c2ccccc2)cc1)C(Oc1ccccc1)c1ccccc1
529,C1=CC=CC=C1C2=CC=C(C(C)(C)C([H])OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C([H])OCOC)C=C2,1,2,O,COC,[H],C1=CC=CC=C1,C,C,1.71697516,COCOCC(C)(C)c1ccc(-c2ccccc2)cc1
531,C1=CC=CC=C1C2=CC=C(C([H])(C3=CC=CC=C3)C([H])OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C3=CC=CC=C3)C([H])OC)C=C2,1,2,O,C,[H],C1=CC=CC=C1,[H],C1=CC=CC=C1,1.71882544,COCC(c1ccccc1)c1ccc(-c2ccccc2)cc1
533,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C5=CC=CC=C5)OC6=CC=CC=C6)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C5=CC=CC=C5)OC6=CC=CC=C6)C=C2,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.71936964,c1ccc(OC(c2ccccc2)C(c2ccccc2)(c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1
535,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C([H])OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C)C([H])OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,[H],C1=CC=CC=C1,C1=CC=CC=C1,C,1.72081177,CC(COc1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
537,CCC1=CC=C(C(C)(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,0,1,CCC1=CC=C(C(C)(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C,CC,C,C1=CC=CC=C1,1.72132876,CCc1ccc(C(C)(c2ccccc2)C(C)Oc2ccccc2)cc1
538,C1=CC=CC=C1C2=CC=C(C(C)(C)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,C,C,1.72217227,CC(C)(c1ccc(-c2ccccc2)cc1)C(Oc1ccccc1)c1ccccc1
540,O(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C#N)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C#N)OCOC)C=C1,1,2,O,COC,C#N,O(C),C1=CC=CC=C1,C1=CC=CC=C1,1.72396813,COCOC(C#N)C(c1ccccc1)(c1ccccc1)c1ccc(OC)cc1
541,O(C)C1=CC=C(C([H])(C)C(C#N)OC2=CC=CC=C2)C=C1,0,1,O(C)C1=CC=C(C([H])(C)C(C#N)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C#N,O(C),[H],C,1.72467559,COc1ccc(C(C)C(C#N)Oc2ccccc2)cc1
542,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)([H])C([H])OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)([H])C([H])OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,[H],C1=CC=CC=C1,C1=CC=CC=C1,[H],1.72467559,c1ccc(OCC(c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1
543,O(C)C1=CC=C(C(C)([H])C(Br)OC2=CC=CC=C2)C=C1,0,1,O(C)C1=CC=C(C(C)([H])C(Br)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,Br,O(C),C,[H],1.72475722,COc1ccc(C(C)C(Br)Oc2ccccc2)cc1
544,C1=CC=CC=C1C2=CC=C(C([H])(C)C(OC)OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C)C(OC)OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,OC,C1=CC=CC=C1,[H],C,1.72483885,COC(Oc1ccccc1)C(C)c1ccc(-c2ccccc2)cc1
546,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(OC)OC5=CC=CC=C5)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(OC)OC5=CC=CC=C5)C=C2,1,2,O,C1=CC=CC=C1,OC,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.72521979,COC(Oc1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
548,C1=CC=CC=C1C2=CC=C(C(C)([H])C([H])OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)([H])C([H])OCOC)C=C2,1,2,O,COC,[H],C1=CC=CC=C1,C,[H],1.72543747,COCOCC(C)c1ccc(-c2ccccc2)cc1
549,C1=CC=CC=C1C2=CC=C(C([H])([H])C([H])OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C([H])OC)C=C2,1,2,O,C,[H],C1=CC=CC=C1,[H],[H],1.7257912,COCCc1ccc(-c2ccccc2)cc1
550,O(C)C1=CC=C(C(C)(C)C(C#N)OC)C=C1,0,1,O(C)C1=CC=C(C(C)(C)C(C#N)OC)C=C1,1,2,O,C,C#N,O(C),C,C,1.72590004,COc1ccc(C(C)(C)C(C#N)OC)cc1
552,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C3=CC=CC=C3)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C3=CC=CC=C3)OC)C=C2,1,2,O,C,C1=CC=CC=C1,C1=CC=CC=C1,[H],[H],1.72619935,COC(Cc1ccc(-c2ccccc2)cc1)c1ccccc1
555,C1=CC=CC=C1C2=CC=C(C([H])([H])C([H])OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C([H])OCOC)C=C2,1,2,O,COC,[H],C1=CC=CC=C1,[H],[H],1.72870267,COCOCCc1ccc(-c2ccccc2)cc1
556,CCC1=CC=C(C(C)(C)C(OC)OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C(C)(C)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,CC,C,C,1.72881151,CCc1ccc(C(C)(C)C(OC)Oc2ccccc2)cc1
557,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C([H])OC5=CC=CC=C5)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C([H])OC5=CC=CC=C5)C=C2,1,2,O,C1=CC=CC=C1,[H],C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.72973665,c1ccc(OCC(c2ccccc2)(c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1
558,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OCOC)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,CC,C1=CC=CC=C1,C1=CC=CC=C1,1.72981828,CCc1ccc(C(c2ccccc2)(c2ccccc2)C(OCOC)c2ccccc2)cc1
559,C1=CC=CC=C1C2=CC=C(C(C)(C)C(Br)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C)C(Br)OCOC)C=C2,1,2,O,COC,Br,C1=CC=CC=C1,C,C,1.73115157,COCOC(Br)C(C)(C)c1ccc(-c2ccccc2)cc1
561,C(OC)(=O)C1=CC=C(C([H])(C)C(C)OC2=CC=CC=C2)C=C1,0,1,C(OC)(=O)C1=CC=C(C([H])(C)C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,C(OC)(=O),[H],C,1.73175019,COC(=O)c1ccc(C(C)C(C)Oc2ccccc2)cc1
562,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C)OCOC)C=C2,1,2,O,COC,C,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.73253928,COCOC(C)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
565,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C([H])OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C([H])OCOC)C=C2,1,2,O,COC,[H],C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.73379094,COCOCC(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
566,O(C)C1=CC=C(C(C)(C)C(Br)OC2=CC=CC=C2)C=C1,0,1,O(C)C1=CC=C(C(C)(C)C(Br)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,Br,O(C),C,C,1.73468887,COc1ccc(C(C)(C)C(Br)Oc2ccccc2)cc1
567,O(C)C1=CC=C(C(C)(C)C(C#N)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C)(C)C(C#N)OCOC)C=C1,1,2,O,COC,C#N,O(C),C,C,1.73577727,COCOC(C#N)C(C)(C)c1ccc(OC)cc1
568,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C)OC5=CC=CC=C5)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(C)OC5=CC=CC=C5)C=C2,1,2,O,C1=CC=CC=C1,C,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.73659357,CC(Oc1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
570,[H]C1=CC=C(C(C)(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,0,1,[H]C1=CC=C(C(C)(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C,[H],C,C1=CC=CC=C1,1.7374915000000002,CC(Oc1ccccc1)C(C)(c1ccccc1)c1ccccc1
571,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C3=CC=CC=C3)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C3=CC=CC=C3)OCOC)C=C2,1,2,O,COC,C1=CC=CC=C1,C1=CC=CC=C1,[H],[H],1.73773639,COCOC(Cc1ccc(-c2ccccc2)cc1)c1ccccc1
572,O(C)C1=CC=C(C(C)(C)C(C#N)OC2=CC=CC=C2)C=C1,0,1,O(C)C1=CC=C(C(C)(C)C(C#N)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C#N,O(C),C,C,1.7385799,COc1ccc(C(C)(C)C(C#N)Oc2ccccc2)cc1
576,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])([H])C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,[H],[H],1.74045739,c1ccc(OC(Cc2ccc(-c3ccccc3)cc2)c2ccccc2)cc1
577,C(OC)(=O)C1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,0,1,C(OC)(=O)C1=CC=C(C([H])([H])C(C)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C,C(OC)(=O),[H],[H],1.74113764,COC(=O)c1ccc(CC(C)Oc2ccccc2)cc1
580,CCC1=CC=C(C([H])(C)C([H])OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C([H])(C)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],CC,[H],C,1.74255256,CCc1ccc(C(C)COc2ccccc2)cc1
581,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(Br)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C4=CC=CC=C4)C(Br)OC)C=C2,1,2,O,C,Br,C1=CC=CC=C1,C1=CC=CC=C1,C1=CC=CC=C1,1.74304234,COC(Br)C(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1
